ds,yhat,yhat_lower,yhat_upper
2024-03-27,4.021535300665384,0.5663478278102189,7.445042063380729
2024-03-28,4.25539600873161,0.8949635319189916,7.584581707961684
2024-03-29,4.402442745461088,0.9809420559581736,7.812677984733097
2024-03-30,3.678736638986021,0.3044497981255198,7.127990230867721
2024-03-31,4.268624871763505,0.9132609891104926,7.445228936535503
2024-04-01,4.08830553459634,0.6059622191722247,7.065880698446634
2024-04-02,4.102965272035261,0.6259997306323601,7.582773459809697
2024-04-03,4.334596710851786,1.0499561277176175,7.854292263712367
2024-04-04,4.556623349731527,0.9952486467605648,7.924552742442518
2024-04-05,4.6884798503030956,1.250711988467477,8.258440047170026
2024-04-06,3.947036888355752,0.8439240484173034,7.347652996877205
2024-04-07,4.517545015639613,0.9400532433110823,7.953904101530533
2024-04-08,4.317170368481891,0.9227036088979768,7.770642565059401
2024-04-09,4.312100440656372,0.9893943057608184,7.7421842501367495
2024-04-10,4.525327830796817,1.0413028719388402,8.173640885078436
2024-04-11,4.731240632676998,1.3550726843881662,7.991917024976417
2024-04-12,4.85016844259771,1.5810210722735274,8.154446755935533
2024-04-13,4.099774190887272,0.4994592931552444,7.595236454040641
2024-04-14,4.66596727997784,1.3651307119991132,8.027526312606573
2024-04-15,4.466411850635192,1.097260496774699,8.193726607843283
2024-04-16,4.467609302880479,1.076470966057845,7.795917938497084
2024-04-17,4.692663786957219,1.1276509004838686,7.888414823695618
2024-04-18,4.915860008450325,1.4067047183933814,8.26334237389256
2024-04-19,5.057202846322024,1.6068241207520098,8.584233644599353
2024-04-20,4.333809346311119,1.1002465741312626,7.650601091942823
2024-04-21,4.930828745137393,1.4405014942884558,8.258245885264126
2024-04-22,4.764964329220686,1.151896907122387,8.23677858329176
2024-04-23,4.801576042905701,1.457678072677231,8.280063644049628
2024-04-24,5.062472158615193,1.7009716986606436,8.68452366446605
2024-04-25,5.320518766858482,1.6723294462695228,8.551007280005434
2024-04-26,5.494215828571049,2.0970675361441993,8.700849221236505
2024-04-27,4.799129444333109,1.6466399853065667,7.977696730392952
2024-04-28,5.418854959122504,2.0700625491456823,8.996859442950186
2024-04-29,5.268583567678606,1.6254827665019078,8.756974432993117
2024-04-30,5.31225012500796,1.9851912187559677,8.985568060457519
2024-05-01,5.5703692249134855,2.1614654328400795,8.932031645833415
2024-05-02,5.814687049941083,2.403431643396777,9.0709075297444
2024-05-03,5.96279651073454,2.5560287856431496,9.227782228739397
2024-05-04,5.229604169164583,1.7196238763463485,8.546830423994901
2024-05-05,5.798322501576255,2.41529250990149,9.365996204429019
2024-05-06,5.584059233433309,2.0711217028129982,8.751668374000193
2024-05-07,5.550980672757467,2.0314580686535026,8.862346681525512
2024-05-08,5.720155508460585,2.1718213145720178,9.352584585706394
2024-05-09,5.864206179979309,2.4533146094719704,9.26917674252002
2024-05-10,5.901915152798123,2.4227971703678595,9.647319006775403
2024-05-11,5.049674632967356,1.6491695753060112,8.049887431568536
2024-05-12,5.492453539931182,2.237657374991146,8.978483989991721
2024-05-13,5.147353952590458,1.8199448589720142,8.629299643847597
2024-05-14,4.980734650220537,1.258127257613756,8.461071822361683
2024-05-15,5.016009103670717,1.67673403693621,8.482245190767411
2024-05-16,5.0282460861596965,1.7385030456974622,8.594610085961179
