ds,yhat,yhat_lower,yhat_upper
2024-05-17,4.93872144892242,1.3898196589038285,8.017726246456242
2024-05-18,3.9663109223605635,0.5846490937552876,7.142454890353833
2024-05-19,4.298399172796902,0.914108742472212,7.562524227494921
2024-05-20,3.854378786963255,0.4609842710222497,7.248668841683269
2024-05-21,3.602718271380652,0.17916897795631276,6.968473618208318
2024-05-22,3.568707857032651,0.18386881268359323,7.231373397640248
2024-05-23,3.5290126448321315,0.05927646986242748,6.953968743280131
2024-05-24,3.4061828974248636,-0.17248682476279115,6.583042408658641
2024-05-25,2.420012458407638,-1.1590083115703818,5.707686044198772
2024-05-26,2.7584214783239522,-0.7368411536658648,6.165926765830243
2024-05-27,2.340937871499608,-0.9401429875540852,5.561903585805199
2024-05-28,2.1357571237395194,-1.454775792636219,5.524336214853793
2024-05-29,2.1674895394936398,-1.2511996761403752,5.53521573013272
2024-05-30,2.21172451778739,-1.1491210007621975,5.651544295575689
2024-05-31,2.1895614687379177,-1.1087561624214766,5.529455678728041
2024-06-01,1.3189979139587398,-2.2800286853730722,4.53401578337037
2024-06-02,1.7858502781477386,-1.7307936494597778,5.026680589110246
2024-06-03,1.5072809059478005,-1.87517567113158,4.727943001766859
2024-06-04,1.4489098381617342,-1.9551933803488677,4.831172941777829
2024-06-05,1.632619181479312,-1.8398747141117828,5.041812289613569
2024-06-06,1.8311782699735055,-1.616752411748302,5.096513665794173
2024-06-07,1.9628377384088291,-1.4834619280131616,5.40215948719135
2024-06-08,1.2427814963425217,-2.04973611249035,4.69011892087896
2024-06-09,1.854110534243377,-1.5455856006664934,5.001768668765531
2024-06-10,1.7114305383051067,-1.7301912719902477,5.070586839306973
2024-06-11,1.7780203503646532,-1.5814049160515187,5.300357471330511
2024-06-12,2.073687707843373,-1.073420974012907,5.718552251142543
2024-06-13,2.369439197975946,-1.0330410207124963,5.796529000853511
2024-06-14,2.582111450357255,-0.6922648603968309,6.284098230964452
2024-06-15,1.9258516576114808,-1.595534294390406,5.170233720531024
2024-06-16,2.583120676125604,-0.7573878743904507,5.9825020300513865
2024-06-17,2.468290241964649,-0.9215667307153759,5.951630313516994
2024-06-18,2.544811145548506,-1.1246942611900028,6.074458256455587
2024-06-19,2.8330588607353784,-0.703183352406254,6.15743294933578
2024-06-20,3.104983874617422,-0.34676926111874806,6.587583492541348
2024-06-21,3.278714296769452,0.12145018449701081,6.622292264578498
2024-06-22,2.569999619900014,-0.7253300456797793,5.978864228047866
2024-06-23,3.1631698722149286,-0.43681415184904676,6.6958907971122
2024-06-24,2.974682864665371,-0.5566262731110817,6.450642936134333
